road_corridor,slope_deg,elevation_m,rainfall_1h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_clay_percent,distance_to_river_m,vegetation_ndvi,historical_incidents,road_quality,p_landslide_true,landslide_occurred,p_flood_true,flood_occurred,inundation_depth_cm,risk_multiplier
NH-10 (Siliguri-Gangtok),20.2,1348.9,1.9,2.1,3.1,40.3,580.0,0.623,4,1,0.0454,0,0.0527,0,0.0,1.75
NH-06 (Guwahati-Shillong),36.3,1907.8,0.6,0.9,1.7,42.1,598.2,0.629,2,4,0.205,0,0.0437,0,0.0,1.64
Guwahati-Jalukbari-Khanapara Urban,16.5,1313.8,1.5,3.0,5.6,37.3,772.8,0.537,4,1,0.0346,1,0.0416,0,0.0,1.72
NH-10 (Siliguri-Gangtok),54.1,1503.6,0.5,0.6,0.7,52.4,1103.7,0.401,0,3,0.3255,0,0.0304,0,0.0,2.05
NH-15 (North Bank Brahmaputra),26.1,514.9,3.3,3.9,6.2,39.1,1118.9,0.81,4,5,0.0705,0,0.0271,0,0.0,1.18
NH-27 (East-West Corridor),43.5,1747.3,20.5,124.1,322.1,40.4,300.7,0.444,4,1,0.9481,1,0.4969,1,65.1,4.67
NH-10 (Siliguri-Gangtok),28.4,586.3,37.3,174.9,610.8,39.0,704.7,0.155,4,1,0.8264,1,0.384,0,0.0,3.8
NH-15 (North Bank Brahmaputra),37.4,1878.2,1.0,1.7,3.3,43.9,574.8,0.554,3,2,0.2648,0,0.0505,0,0.0,2.08
NH-27 (East-West Corridor),38.5,1796.8,48.8,189.4,479.5,20.4,1785.4,0.507,3,5,0.9035,1,0.2344,0,0.0,3.22
NH-06 (Guwahati-Shillong),22.9,1661.2,0.8,1.2,2.0,50.8,948.5,0.88,5,1,0.0629,0,0.0368,0,0.0,1.77
NH-27 (East-West Corridor),56.7,416.9,1.2,1.8,2.2,16.7,758.3,0.638,1,2,0.3138,0,0.0385,0,0.0,2.18
NH-37 (Silchar-Imphal),48.3,910.8,1.9,2.2,2.9,40.6,248.1,0.495,2,3,0.3387,0,0.0963,1,17.2,2.27
Guwahati-Jalukbari-Khanapara Urban,55.4,836.8,0.1,0.2,0.3,39.6,894.4,0.515,6,2,0.4346,0,0.0354,0,0.0,2.44
NH-27 (East-West Corridor),53.5,1016.3,5.9,6.8,9.1,23.3,249.7,0.512,10,1,0.4387,0,0.1063,0,0.0,2.67
Guwahati-Jalukbari-Khanapara Urban,40.7,512.1,1.7,4.1,6.3,16.6,479.0,0.88,3,1,0.2795,0,0.06,0,0.0,2.27
NH-15 (North Bank Brahmaputra),54.6,2083.4,39.7,265.0,720.6,20.6,273.3,0.672,4,3,0.9456,1,0.5639,1,97.8,4.61
NH-27 (East-West Corridor),18.8,1374.5,24.1,201.6,550.7,25.9,1092.3,0.297,4,3,0.5427,0,0.2885,0,0.0,2.78
NH-15 (North Bank Brahmaputra),23.4,915.2,4.0,5.0,6.6,50.3,334.8,0.506,2,4,0.0504,0,0.0752,1,24.5,1.52
NH-06 (Guwahati-Shillong),16.9,1084.4,56.9,241.4,703.2,49.2,547.9,0.546,3,2,0.4961,0,0.4343,0,0.0,2.97
NH-10 (Siliguri-Gangtok),29.0,1177.3,22.6,131.7,386.0,17.6,1958.2,0.351,3,3,0.7842,1,0.2102,0,0.0,3.23
NH-15 (North Bank Brahmaputra),31.7,1461.1,55.6,260.6,750.0,26.6,332.8,0.229,1,3,0.8251,0,0.5245,0,0.0,3.63
NH-27 (East-West Corridor),26.7,1304.0,0.2,0.6,1.3,50.6,717.1,0.657,3,2,0.0852,0,0.0424,0,0.0,1.68
NH-06 (Guwahati-Shillong),50.6,2050.9,1.8,1.9,3.4,24.5,584.8,0.405,5,3,0.4092,1,0.0459,0,0.0,2.25
NH-27 (East-West Corridor),30.3,1269.4,0.9,2.0,3.6,54.8,164.6,0.775,2,4,0.1132,0,0.1217,0,0.0,1.52
NH-37 (Silchar-Imphal),27.1,2185.5,1.2,1.9,2.1,25.3,1409.1,0.551,1,5,0.0617,0,0.0237,0,0.0,1.16
Guwahati-Jalukbari-Khanapara Urban,38.3,1925.1,11.0,63.2,203.6,44.6,207.2,0.465,4,3,0.8986,1,0.2139,0,0.0,3.49
NH-27 (East-West Corridor),21.1,735.7,1.0,2.5,3.2,31.7,664.4,0.115,3,4,0.0444,0,0.0396,0,0.0,1.29
NH-06 (Guwahati-Shillong),49.5,2071.6,3.5,4.4,7.1,20.4,808.0,0.77,3,4,0.3188,0,0.034,0,0.0,1.88
NH-06 (Guwahati-Shillong),18.2,565.3,68.6,380.0,750.0,25.2,942.0,0.603,0,5,0.3804,1,0.2882,1,94.6,2.8
NH-10 (Siliguri-Gangtok),57.4,1862.3,16.2,126.9,350.4,42.0,1083.4,0.469,2,4,0.9413,1,0.2179,0,0.0,3.44
Guwahati-Jalukbari-Khanapara Urban,48.2,1054.2,3.1,6.5,8.0,28.5,383.6,0.39,0,2,0.3093,0,0.0715,0,0.0,2.2
NH-15 (North Bank Brahmaputra),23.5,1974.3,36.2,248.1,675.1,39.2,158.0,0.838,1,2,0.5725,0,0.6779,1,97.7,4.06
NH-10 (Siliguri-Gangtok),15.2,1955.9,0.6,1.6,1.8,23.2,1178.3,0.358,2,4,0.0228,0,0.0266,0,0.0,1.23
Guwahati-Jalukbari-Khanapara Urban,50.1,1841.0,0.8,2.1,2.4,32.9,763.7,0.484,3,3,0.3614,0,0.0374,0,0.0,2.13
Guwahati-Jalukbari-Khanapara Urban,45.4,1811.6,3.7,6.3,10.7,35.5,1596.9,0.653,7,2,0.3944,0,0.0279,0,0.0,2.35
NH-27 (East-West Corridor),46.3,913.7,26.1,188.4,586.5,31.5,1528.0,0.811,1,3,0.9195,1,0.2614,1,47.2,3.94
NH-10 (Siliguri-Gangtok),48.2,499.7,36.5,145.5,453.5,22.9,1632.9,0.511,3,5,0.9337,1,0.227,0,0.0,3.28
NH-10 (Siliguri-Gangtok),18.2,1095.5,4.7,14.1,21.5,33.5,681.0,0.418,5,3,0.0444,0,0.0438,0,0.0,1.44
NH-10 (Siliguri-Gangtok),30.4,671.0,2.0,3.7,4.3,42.7,474.7,0.531,1,3,0.1138,0,0.0571,0,0.0,1.61
NH-06 (Guwahati-Shillong),20.0,1635.7,0.5,1.5,1.7,53.6,1404.5,0.713,3,3,0.0371,0,0.0275,0,0.0,1.41
NH-37 (Silchar-Imphal),52.1,990.3,0.5,0.6,0.8,46.6,630.2,0.753,3,2,0.3676,1,0.0467,0,0.0,2.3
NH-27 (East-West Corridor),41.8,2154.9,4.0,6.3,12.5,21.5,312.1,0.302,1,1,0.3006,0,0.0884,0,0.0,2.35
NH-15 (North Bank Brahmaputra),29.2,1535.8,4.5,6.0,8.8,25.9,1694.7,0.571,0,5,0.0771,0,0.0232,1,16.3,1.31
NH-10 (Siliguri-Gangtok),17.7,1871.6,23.3,136.3,348.9,18.2,1863.5,0.292,3,5,0.4636,1,0.2004,0,0.0,2.22
Guwahati-Jalukbari-Khanapara Urban,28.4,595.2,19.2,145.1,464.4,20.4,652.4,0.709,1,5,0.6873,1,0.3074,0,0.0,2.82
NH-15 (North Bank Brahmaputra),29.0,1944.7,3.6,6.1,10.0,25.0,213.0,0.626,2,3,0.0963,1,0.1065,0,0.0,1.62
NH-15 (North Bank Brahmaputra),46.4,2057.1,2.9,8.3,16.2,23.0,542.6,0.384,5,2,0.4172,1,0.0528,0,0.0,2.42
Guwahati-Jalukbari-Khanapara Urban,42.4,1251.1,3.4,7.0,9.2,23.5,1451.8,0.826,3,5,0.27,0,0.024,0,0.0,1.62
NH-27 (East-West Corridor),53.2,1471.6,1.5,2.8,4.3,24.2,2006.4,0.61,2,5,0.3084,1,0.0219,0,0.0,1.7
NH-06 (Guwahati-Shillong),35.3,1764.9,19.7,110.7,272.0,27.0,332.0,0.591,6,4,0.8987,1,0.3845,1,57.3,3.94
NH-10 (Siliguri-Gangtok),20.1,673.5,14.7,119.3,266.5,20.0,205.5,0.518,2,2,0.5069,0,0.5082,0,0.0,3.07
NH-37 (Silchar-Imphal),45.7,1279.7,0.3,0.9,1.1,26.1,1828.7,0.549,2,3,0.3069,0,0.0245,0,0.0,2.0
NH-06 (Guwahati-Shillong),47.7,1087.5,2.5,3.7,4.7,42.5,544.7,0.481,4,4,0.3754,1,0.0482,0,0.0,2.02
NH-27 (East-West Corridor),39.1,620.8,53.2,296.6,750.0,24.5,774.3,0.417,2,3,0.9112,1,0.3414,0,0.0,3.64
NH-10 (Siliguri-Gangtok),48.2,1029.9,3.9,8.5,9.4,21.9,2905.3,0.771,6,3,0.3774,0,0.0244,0,0.0,2.15
NH-27 (East-West Corridor),36.2,476.1,30.3,184.5,424.6,17.7,205.1,0.461,5,4,0.909,1,0.5981,0,0.0,3.74
NH-27 (East-West Corridor),37.5,397.8,3.7,8.0,8.9,35.0,986.0,0.455,4,4,0.2745,0,0.031,0,0.0,1.78
NH-27 (East-West Corridor),33.4,600.1,26.2,191.8,507.1,48.7,211.6,0.527,2,2,0.8695,1,0.6317,0,0.0,3.99
NH-27 (East-West Corridor),16.1,2131.8,2.1,5.4,8.9,17.4,526.6,0.806,4,3,0.0264,0,0.0502,0,0.0,1.41
NH-37 (Silchar-Imphal),19.6,1366.6,14.9,111.4,413.8,36.7,1453.0,0.754,1,4,0.4445,0,0.1593,0,0.0,2.29
NH-27 (East-West Corridor),16.4,2136.8,13.4,60.6,234.4,41.0,604.6,0.479,4,2,0.4472,1,0.1029,0,0.0,2.54
Guwahati-Jalukbari-Khanapara Urban,42.4,1150.1,2.5,4.6,8.7,38.7,4847.5,0.771,3,5,0.2829,0,0.0221,0,0.0,1.64
NH-27 (East-West Corridor),28.5,926.9,2.6,40.7,119.1,50.1,805.1,0.569,4,4,0.3817,0,0.0445,0,0.0,2.03
NH-37 (Silchar-Imphal),36.9,1286.4,64.9,380.0,750.0,49.7,459.9,0.398,6,5,0.9212,1,0.4344,0,0.0,3.46
NH-27 (East-West Corridor),54.0,1163.1,1.5,2.3,2.8,17.3,348.9,0.464,6,2,0.4177,0,0.0745,0,0.0,2.44
NH-10 (Siliguri-Gangtok),25.7,545.5,3.6,5.2,6.0,29.4,495.3,0.797,4,1,0.0784,0,0.0603,0,0.0,1.83
NH-06 (Guwahati-Shillong),32.6,1535.5,0.8,1.2,1.4,41.8,522.9,0.88,2,1,0.1551,0,0.0573,0,0.0,2.0
NH-37 (Silchar-Imphal),47.5,749.7,0.6,0.8,1.0,53.1,207.0,0.608,1,3,0.3135,0,0.1103,0,0.0,2.1
NH-15 (North Bank Brahmaputra),24.8,1496.2,0.7,1.5,2.6,47.2,519.1,0.448,3,2,0.0714,0,0.0553,1,9.9,1.74
NH-15 (North Bank Brahmaputra),18.3,1552.9,33.4,170.7,620.4,22.1,649.3,0.528,1,2,0.4463,1,0.3779,1,56.5,3.23
NH-10 (Siliguri-Gangtok),27.5,631.2,0.9,2.0,3.6,26.2,1176.2,0.413,2,2,0.0861,0,0.0298,0,0.0,1.67
NH-37 (Silchar-Imphal),21.9,463.5,17.8,134.3,331.6,45.5,1005.4,0.439,2,3,0.5767,0,0.2546,0,0.0,2.82
NH-06 (Guwahati-Shillong),55.0,1794.4,3.0,7.7,11.1,33.9,1136.9,0.421,1,3,0.3426,0,0.03,0,0.0,2.08
Guwahati-Jalukbari-Khanapara Urban,49.7,1200.6,2.4,3.0,5.7,36.9,156.7,0.536,2,3,0.3393,1,0.1286,0,0.0,2.17
NH-06 (Guwahati-Shillong),42.2,457.6,0.3,0.6,1.1,39.4,346.4,0.572,2,2,0.3007,0,0.077,0,0.0,2.19
Guwahati-Jalukbari-Khanapara Urban,52.5,2190.5,8.4,13.0,25.1,19.1,1017.0,0.523,2,5,0.334,1,0.0297,0,0.0,1.76
NH-27 (East-West Corridor),49.6,456.9,1.9,3.9,7.1,49.2,679.3,0.51,5,3,0.4244,1,0.0426,0,0.0,2.28
NH-10 (Siliguri-Gangtok),23.0,1635.8,1.4,2.3,3.9,49.5,154.3,0.687,2,2,0.0487,0,0.1377,0,0.0,1.69
NH-37 (Silchar-Imphal),53.4,2169.8,1.0,2.5,4.8,33.7,1455.7,0.509,4,1,0.4175,0,0.0293,0,0.0,2.55
Guwahati-Jalukbari-Khanapara Urban,38.2,792.5,9.0,54.9,211.2,40.1,1335.6,0.52,2,2,0.8711,1,0.0504,0,0.0,3.42
NH-15 (North Bank Brahmaputra),49.7,613.2,36.2,181.4,420.7,41.4,786.0,0.518,1,2,0.9366,1,0.3532,0,0.0,3.86
NH-37 (Silchar-Imphal),53.5,574.6,0.7,0.9,1.0,22.6,205.0,0.828,1,3,0.289,0,0.1058,1,11.5,2.13
NH-06 (Guwahati-Shillong),28.7,911.1,14.6,109.1,347.6,19.5,1313.7,0.462,2,5,0.7327,1,0.1468,0,0.0,2.76
NH-27 (East-West Corridor),19.7,536.9,17.7,126.7,402.8,15.8,851.1,0.657,5,2,0.5589,1,0.261,0,0.0,2.94
NH-06 (Guwahati-Shillong),24.8,1630.5,1.8,3.4,4.1,51.5,1368.5,0.415,3,4,0.0671,0,0.0266,0,0.0,1.32
Guwahati-Jalukbari-Khanapara Urban,33.4,465.2,24.8,191.5,638.5,28.8,1264.6,0.613,3,5,0.85,0,0.2529,0,0.0,3.12
NH-10 (Siliguri-Gangtok),50.2,1292.4,17.7,95.6,258.1,18.4,1449.6,0.648,4,3,0.9409,1,0.1348,0,0.0,3.5
Guwahati-Jalukbari-Khanapara Urban,52.0,2193.9,2.1,6.1,9.5,33.6,733.9,0.745,3,2,0.3653,1,0.0414,0,0.0,2.29
Guwahati-Jalukbari-Khanapara Urban,15.3,1855.8,2.9,8.3,16.4,18.0,271.0,0.481,0,3,0.0197,0,0.089,0,0.0,1.43
NH-15 (North Bank Brahmaputra),37.0,1488.2,0.9,2.1,2.5,18.4,1039.7,0.349,2,5,0.2082,1,0.0268,0,0.0,1.48
NH-06 (Guwahati-Shillong),32.9,916.6,3.2,3.3,4.8,34.6,925.1,0.409,3,1,0.1966,0,0.0369,0,0.0,2.07
Guwahati-Jalukbari-Khanapara Urban,24.6,1504.2,15.8,104.5,346.5,35.4,1234.6,0.724,1,3,0.5965,0,0.1613,0,0.0,2.77
NH-10 (Siliguri-Gangtok),20.2,1325.0,2.8,8.0,12.5,38.2,298.9,0.88,2,4,0.0306,0,0.0811,0,0.0,1.3
NH-27 (East-West Corridor),29.5,1138.3,22.4,191.1,561.5,41.3,323.5,0.7,3,3,0.7925,1,0.5297,1,92.3,4.24
NH-06 (Guwahati-Shillong),55.5,591.8,28.6,125.7,390.7,41.7,1918.8,0.323,4,3,0.9555,1,0.2216,0,0.0,3.62
Guwahati-Jalukbari-Khanapara Urban,28.9,1990.2,7.3,79.5,287.3,32.3,1259.0,0.694,4,3,0.7797,1,0.0746,1,5.0,3.13
NH-37 (Silchar-Imphal),37.3,1182.1,40.3,300.1,750.0,40.7,2060.8,0.38,3,3,0.9143,1,0.2586,0,0.0,3.57
NH-27 (East-West Corridor),45.2,710.1,0.7,1.4,1.6,27.2,1287.4,0.487,1,4,0.2792,0,0.0258,1,14.2,1.9
NH-06 (Guwahati-Shillong),30.6,1030.4,1.2,3.1,5.9,32.7,877.4,0.584,3,3,0.1324,0,0.034,0,0.0,1.62
NH-10 (Siliguri-Gangtok),56.8,1116.1,28.2,233.2,654.3,30.7,999.4,0.614,0,3,0.9262,1,0.304,1,74.9,4.2
NH-10 (Siliguri-Gangtok),56.4,1880.9,4.1,11.6,16.6,28.2,1909.5,0.562,3,2,0.395,1,0.0273,0,0.0,2.35
NH-27 (East-West Corridor),25.8,1707.2,1.7,2.1,3.1,24.5,841.7,0.442,2,5,0.0593,0,0.031,0,0.0,1.16
NH-10 (Siliguri-Gangtok),36.4,1773.2,11.9,93.4,264.9,18.1,950.6,0.741,4,2,0.898,1,0.1366,0,0.0,3.56
NH-06 (Guwahati-Shillong),27.9,370.4,36.7,302.1,750.0,35.2,286.1,0.455,4,2,0.7896,1,0.5743,0,0.0,3.76
NH-06 (Guwahati-Shillong),27.2,1119.9,5.9,16.8,20.3,36.5,663.8,0.776,3,2,0.0959,1,0.0484,0,0.0,1.71
NH-15 (North Bank Brahmaputra),16.6,1240.5,22.2,126.6,360.1,28.4,1158.1,0.305,1,5,0.4034,0,0.214,0,0.0,2.1
NH-06 (Guwahati-Shillong),41.2,385.5,28.6,212.2,470.4,54.0,402.8,0.589,5,3,0.9433,1,0.4911,0,0.0,3.86
NH-15 (North Bank Brahmaputra),36.6,830.7,0.9,1.4,2.4,37.3,330.8,0.329,2,3,0.2338,0,0.0762,0,0.0,1.89
Guwahati-Jalukbari-Khanapara Urban,17.2,1756.5,0.6,1.1,1.4,50.6,451.3,0.4,2,5,0.0268,0,0.0539,0,0.0,1.11
NH-10 (Siliguri-Gangtok),27.0,603.7,23.5,115.5,361.8,37.8,371.1,0.458,2,5,0.6983,0,0.3854,1,74.8,3.48
Guwahati-Jalukbari-Khanapara Urban,54.1,1340.3,5.3,13.1,26.0,22.6,343.6,0.824,2,3,0.3399,0,0.0769,0,0.0,2.12
NH-10 (Siliguri-Gangtok),25.3,748.1,3.9,9.2,14.6,54.0,592.5,0.785,1,3,0.0584,0,0.0495,0,0.0,1.48
NH-15 (North Bank Brahmaputra),21.2,372.4,1.2,1.3,1.8,50.4,2057.4,0.707,3,5,0.0377,0,0.0227,0,0.0,1.11
NH-10 (Siliguri-Gangtok),36.0,796.2,23.7,143.2,438.1,33.9,715.9,0.556,1,2,0.8823,1,0.337,0,0.0,3.72
NH-10 (Siliguri-Gangtok),57.4,2155.4,1.1,1.6,3.1,24.7,316.5,0.584,7,3,0.4067,1,0.0774,0,0.0,2.27
NH-37 (Silchar-Imphal),25.4,1832.8,0.6,1.3,2.3,23.9,214.1,0.778,5,4,0.0693,0,0.0982,0,0.0,1.4
Guwahati-Jalukbari-Khanapara Urban,43.9,2125.2,8.2,9.2,15.8,47.2,1103.0,0.676,1,4,0.2872,0,0.0308,0,0.0,1.81
NH-27 (East-West Corridor),47.7,1252.5,20.2,158.7,439.3,17.8,536.0,0.553,1,1,0.931,1,0.4123,0,0.0,4.06
Guwahati-Jalukbari-Khanapara Urban,25.2,553.0,0.8,0.8,1.3,40.5,1530.0,0.818,4,1,0.0741,0,0.0291,0,0.0,1.79
NH-15 (North Bank Brahmaputra),46.3,1363.7,62.5,380.0,750.0,40.6,1011.9,0.697,2,4,0.9283,1,0.2959,0,0.0,3.49
NH-10 (Siliguri-Gangtok),30.8,1190.6,24.9,140.7,404.0,22.3,1422.7,0.594,2,1,0.8151,1,0.2586,1,42.2,3.97
NH-27 (East-West Corridor),42.2,1912.1,2.9,3.1,6.0,43.2,403.9,0.467,3,5,0.3045,0,0.0595,0,0.0,1.73
NH-27 (East-West Corridor),42.2,531.5,19.2,149.1,339.7,43.2,1093.1,0.451,1,2,0.9252,1,0.2779,0,0.0,3.76
NH-27 (East-West Corridor),38.0,1253.2,49.2,264.0,750.0,29.0,395.3,0.489,9,3,0.927,1,0.4866,0,0.0,3.82
NH-37 (Silchar-Imphal),18.9,627.6,29.6,206.4,629.7,34.3,2388.4,0.632,4,3,0.5236,1,0.2516,0,0.0,2.7
NH-06 (Guwahati-Shillong),50.9,950.7,0.9,1.3,1.7,48.3,959.3,0.7,2,3,0.3371,0,0.0328,0,0.0,2.07
NH-10 (Siliguri-Gangtok),28.8,1714.1,17.7,101.9,322.8,35.9,463.9,0.29,4,1,0.8242,1,0.3108,0,0.0,3.72
NH-10 (Siliguri-Gangtok),23.0,1230.6,55.6,342.9,750.0,39.7,401.2,0.2,4,2,0.6796,1,0.5017,0,0.0,3.44
Guwahati-Jalukbari-Khanapara Urban,16.8,1045.4,30.0,255.6,725.0,31.5,319.5,0.379,7,3,0.5272,0,0.5353,1,94.3,3.66
NH-27 (East-West Corridor),40.4,1079.8,1.2,3.5,6.4,21.0,1099.0,0.477,1,3,0.2482,0,0.0291,0,0.0,1.87
NH-37 (Silchar-Imphal),44.1,1200.0,33.7,244.7,750.0,54.9,347.5,0.765,2,3,0.9295,1,0.5271,1,72.8,4.41
NH-27 (East-West Corridor),15.7,1802.3,1.6,2.9,4.0,36.3,873.7,0.5,7,1,0.0366,0,0.0381,0,0.0,1.72
Guwahati-Jalukbari-Khanapara Urban,37.0,2000.4,1.7,2.2,3.4,28.5,395.9,0.596,3,3,0.236,0,0.0649,0,0.0,1.88
NH-06 (Guwahati-Shillong),24.7,2117.4,3.9,9.2,17.9,43.6,1017.7,0.625,3,3,0.067,0,0.0327,0,0.0,1.48
NH-10 (Siliguri-Gangtok),42.7,1805.8,18.1,128.1,403.9,39.8,1499.7,0.366,6,1,0.9527,1,0.2294,1,33.4,4.17
NH-27 (East-West Corridor),22.5,933.5,3.4,7.8,14.1,24.3,1354.2,0.813,0,1,0.0362,0,0.0305,0,0.0,1.71
NH-10 (Siliguri-Gangtok),44.7,1623.0,1.7,2.4,3.2,50.1,1294.5,0.43,7,3,0.4022,0,0.0284,0,0.0,2.21
Guwahati-Jalukbari-Khanapara Urban,31.6,1159.6,30.7,245.1,578.4,17.8,316.3,0.831,4,3,0.8312,1,0.5312,1,70.8,4.19
NH-15 (North Bank Brahmaputra),55.3,821.1,0.7,1.9,2.5,39.2,224.0,0.527,3,2,0.3869,0,0.1078,0,0.0,2.41
NH-06 (Guwahati-Shillong),20.9,1905.6,66.3,345.1,750.0,34.1,1110.4,0.489,2,2,0.5467,1,0.3051,0,0.0,2.95
